127.0.0.1 - - [04/Mar/2024:23:18:55 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [04/Mar/2024:23:19:01 +0530] "GET /signin-signup-demo/ HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Mar/2024:23:19:01 +0530] "GET /signin-signup-demo/ HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Mar/2024:23:19:01 +0530] "GET /signin-signup-demo/ HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Mar/2024:23:19:24 +0530] "GET /signin-signup-demo/login.html HTTP/1.1" 200 1893
0:0:0:0:0:0:0:1 - - [04/Mar/2024:23:20:51 +0530] "GET /signin-signup-demo/login.html HTTP/1.1" 200 1940
0:0:0:0:0:0:0:1 - - [04/Mar/2024:23:20:51 +0530] "GET /CSS/style.css HTTP/1.1" 404 768
0:0:0:0:0:0:0:1 - - [04/Mar/2024:23:20:52 +0530] "GET /signin-signup-demo/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2024:23:20:52 +0530] "GET /CSS/style.css HTTP/1.1" 404 768
0:0:0:0:0:0:0:1 - - [04/Mar/2024:23:20:53 +0530] "GET /signin-signup-demo/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2024:23:20:53 +0530] "GET /CSS/style.css HTTP/1.1" 404 768
0:0:0:0:0:0:0:1 - - [04/Mar/2024:23:20:53 +0530] "GET /signin-signup-demo/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2024:23:20:53 +0530] "GET /CSS/style.css HTTP/1.1" 404 768
0:0:0:0:0:0:0:1 - - [04/Mar/2024:23:20:53 +0530] "GET /signin-signup-demo/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2024:23:20:53 +0530] "GET /CSS/style.css HTTP/1.1" 404 768
0:0:0:0:0:0:0:1 - - [04/Mar/2024:23:21:02 +0530] "GET /signin-signup-demo/ HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Mar/2024:23:21:07 +0530] "GET /signin-signup-demo/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2024:23:21:07 +0530] "GET /CSS/style.css HTTP/1.1" 404 768
0:0:0:0:0:0:0:1 - - [04/Mar/2024:23:21:34 +0530] "GET /signin-signup-demo/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2024:23:21:34 +0530] "GET /CSS/style.css HTTP/1.1" 404 768
0:0:0:0:0:0:0:1 - - [04/Mar/2024:23:22:13 +0530] "GET /signin-signup-demo/login.html HTTP/1.1" 200 1940
0:0:0:0:0:0:0:1 - - [04/Mar/2024:23:22:13 +0530] "GET /CSS.style.css HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [04/Mar/2024:23:22:16 +0530] "GET /signin-signup-demo/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2024:23:22:16 +0530] "GET /CSS.style.css HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [04/Mar/2024:23:22:59 +0530] "GET /signin-signup-demo/login.html HTTP/1.1" 200 1939
0:0:0:0:0:0:0:1 - - [04/Mar/2024:23:22:59 +0530] "GET /signin-signup-demo/CSS.style.css HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [04/Mar/2024:23:23:00 +0530] "GET /signin-signup-demo/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2024:23:23:00 +0530] "GET /signin-signup-demo/CSS.style.css HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [04/Mar/2024:23:23:00 +0530] "GET /signin-signup-demo/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2024:23:23:01 +0530] "GET /signin-signup-demo/CSS.style.css HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [04/Mar/2024:23:23:01 +0530] "GET /signin-signup-demo/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2024:23:23:01 +0530] "GET /signin-signup-demo/CSS.style.css HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [04/Mar/2024:23:23:01 +0530] "GET /signin-signup-demo/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2024:23:23:01 +0530] "GET /signin-signup-demo/CSS.style.css HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [04/Mar/2024:23:23:23 +0530] "GET /signin-signup-demo/ HTTP/1.1" 404 774
